id,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Year
1,"Wii Sports",Sports,E,Wii,Nintendo,"Nintendo EAD",7.7,,2006
2,"Super Mario Bros.",Platform,,NES,Nintendo,"Nintendo EAD",10.0,,1985
3,"Mario Kart Wii",Racing,E,Wii,Nintendo,"Nintendo EAD",8.2,9.1,2008
4,"PlayerUnknown's Battlegrounds",Shooter,,PC,"PUBG Corporation","PUBG Corporation",,,2017
5,"Wii Sports Resort",Sports,E,Wii,Nintendo,"Nintendo EAD",8.0,8.8,2009
6,"Pokemon Red / Green / Blue Version",Role-Playing,E,GB,Nintendo,"Game Freak",9.4,,1998
7,"New Super Mario Bros.",Platform,E,DS,Nintendo,"Nintendo EAD",9.1,8.1,2006
8,Tetris,Puzzle,E,GB,Nintendo,"Bullet Proof Software",,,1989
9,"New Super Mario Bros. Wii",Platform,E,Wii,Nintendo,"Nintendo EAD",8.6,9.2,2009
10,Minecraft,Misc,,PC,Mojang,"Mojang AB",10.0,,2010
11,"Duck Hunt",Shooter,,NES,Nintendo,"Nintendo R&D1",,,1985
12,"Wii Play",Misc,E,Wii,Nintendo,"Nintendo EAD",5.9,4.5,2007
13,"Kinect Adventures!",Party,E,X360,"Microsoft Game Studios","Good Science Studio",6.7,,2010
14,Nintendogs,Simulation,E,DS,Nintendo,"Nintendo EAD",8.4,,2005
15,"Mario Kart DS",Racing,E,DS,Nintendo,"Nintendo EAD",9.1,9.4,2005
16,"Pokemon Gold / Silver Version",Role-Playing,E,GB,Nintendo,"Game Freak",9.2,,2000
17,"Wii Fit",Sports,E,Wii,Nintendo,"Nintendo EAD",7.9,,2008
18,"Wii Fit Plus",Sports,E,Wii,Nintendo,"Nintendo EAD",8.0,,2009
19,"Super Mario World",Platform,E,SNES,Nintendo,"Nintendo EAD",8.5,,1991
20,"Grand Theft Auto V",Action,M,PS3,"Rockstar Games","Rockstar North",9.4,,2013
21,"Grand Theft Auto V",Action,M,PS4,"Rockstar Games","Rockstar North",9.7,,2014
22,"Brain Age: Train Your Brain in Minutes a Day",Misc,E,DS,Nintendo,"Nintendo SDD",8.1,,2006
23,"Garry's Mod",Misc,,PC,Unknown,"Team Garry",,,2004
24,"Super Mario Land",Platform,E,GB,Nintendo,"Nintendo R&D1",,,1989
